pair_id               , alg            , n         , seed     , os     , run_order, run_id, wall_ms, cpu_user_ms, cpu_sys_ms, cpu_pct_avg, threads, rss_peak_mib, temp_c, compiler                                       , flags                       , os_name                            , kernel           , timestamp
linear_scan_2000000   , linear_scan    ,    2000000, 123456790, Windows,         2,      1,  17.863,       0.000,     15.625,        5.47,      16,       12.375, 55.0  , "g++.exe (Rev2, Built by MSYS2 project) 14.2.0", -O3 -march=native -DNDEBUG  , Windows 10 Pro Build 26200.7309    , N/A              , 2025-12-08T11:43:06
linear_scan_2000000   , linear_scan    ,    2000000, 123456790, Windows,         3,      2,  18.654,      15.625,      0.000,        5.24,      16,       12.367, 56.0  , "g++.exe (Rev2, Built by MSYS2 project) 14.2.0", -O3 -march=native -DNDEBUG  , Windows 10 Pro Build 26200.7309    , N/A              , 2025-12-08T11:43:16
linear_scan_2000000   , linear_scan    ,    2000000, 123456791, Windows,         2,      3,  19.040,      15.625,      0.000,        5.13,      16,       12.375, 57.0  , "g++.exe (Rev2, Built by MSYS2 project) 14.2.0", -O3 -march=native -DNDEBUG  , Windows 10 Pro Build 26200.7309    , N/A              , 2025-12-08T11:43:26
linear_scan_2000000   , linear_scan    ,    2000000, 123456791, Windows,         3,      4,  17.935,       0.000,     31.250,       10.89,      16,       12.379, 58.0  , "g++.exe (Rev2, Built by MSYS2 project) 14.2.0", -O3 -march=native -DNDEBUG  , Windows 10 Pro Build 26200.7309    , N/A              , 2025-12-08T11:43:36
linear_scan_2000000   , linear_scan    ,    2000000, 123456792, Windows,         2,      5,  18.360,      15.625,      0.000,        5.32,      16,       12.371, 58.0  , "g++.exe (Rev2, Built by MSYS2 project) 14.2.0", -O3 -march=native -DNDEBUG  , Windows 10 Pro Build 26200.7309    , N/A              , 2025-12-08T11:43:47
linear_scan_2000000   , linear_scan    ,    2000000, 123456792, Windows,         3,      6,  17.969,      31.250,      0.000,       10.87,      16,       12.367, 59.0  , "g++.exe (Rev2, Built by MSYS2 project) 14.2.0", -O3 -march=native -DNDEBUG  , Windows 10 Pro Build 26200.7309    , N/A              , 2025-12-08T11:43:57
linear_scan_2000000   , linear_scan    ,    2000000, 123456793, Windows,         2,      7,  17.677,       0.000,     15.625,        5.52,      16,       12.371, 59.0  , "g++.exe (Rev2, Built by MSYS2 project) 14.2.0", -O3 -march=native -DNDEBUG  , Windows 10 Pro Build 26200.7309    , N/A              , 2025-12-08T11:44:07
linear_scan_2000000   , linear_scan    ,    2000000, 123456793, Windows,         3,      8,  17.236,      15.625,      0.000,        5.67,      16,       12.371, 60.0  , "g++.exe (Rev2, Built by MSYS2 project) 14.2.0", -O3 -march=native -DNDEBUG  , Windows 10 Pro Build 26200.7309    , N/A              , 2025-12-08T11:44:17
linear_scan_2000000   , linear_scan    ,    2000000, 123456794, Windows,         2,      9,  19.512,      15.625,     15.625,       10.01,      16,       12.375, 60.0  , "g++.exe (Rev2, Built by MSYS2 project) 14.2.0", -O3 -march=native -DNDEBUG  , Windows 10 Pro Build 26200.7309    , N/A              , 2025-12-08T11:44:27
linear_scan_2000000   , linear_scan    ,    2000000, 123456794, Windows,         3,     10,  17.807,      15.625,     15.625,       10.97,      16,       12.379, 61.0  , "g++.exe (Rev2, Built by MSYS2 project) 14.2.0", -O3 -march=native -DNDEBUG  , Windows 10 Pro Build 26200.7309    , N/A              , 2025-12-08T11:44:38
